param;filter;value2;value3
Виртуальный секс;celi-znakomstva;виртуального секса;
встречи;celi-znakomstva;встреч;
дружба и общение;celi-znakomstva;дружбы и общения;
любовь и отношения;celi-znakomstva;любови и отношений;
Обмен фото и видео;celi-znakomstva;обмена фото и видео;
переписка;celi-znakomstva;переписки;
Реальный секс;celi-znakomstva;реального секса;
совместные путешествия;celi-znakomstva;совместного путешествия;
создание семьи;celi-znakomstva;создания семьи;
Рыжий;cvet-volos;рыжие;
Светлый;cvet-volos;светлые;
Седой;cvet-volos;седые;
Темный;cvet-volos;темные;
аккуратный;harakter;аккуратным;
вежливый;harakter;вежливым;
верный;harakter;верным;
весёлый;harakter;весёлым;
влюбчивый;harakter;влюбчивым;
внимательный;harakter;внимательным;
воспитанный;harakter;воспитанным;
гордый;harakter;гордым;
добрый;harakter;добрым;
доверчивый;harakter;доверчивым;
дружелюбный;harakter;дружелюбным;
заботливый;harakter;заботливым;
застенчивый;harakter;застенчивым;
легкомысленный;harakter;легкомысленным;
надёжный;harakter;надёжным;
нежный;harakter;нежным;
нервный;harakter;нервным;
обидчивый;harakter;обидчивым;
оптимистичный;harakter;оптимистичным;
покладистый;harakter;покладистым;
пошлый;harakter;пошлым;
пунктуальный;harakter;пунктуальным;
ранимый;harakter;ранимым;
ревнивый;harakter;ревнивым;
решительный;harakter;решительным;
романтичный;harakter;романтичным;
смелый;harakter;смелым;
собственник;harakter;собственником;
справедливый;harakter;справедливым;
терпеливый;harakter;терпеливым;
трудолюбивый;harakter;трудолюбивым;
упрямый;harakter;упрямым;
хитрый;harakter;хитрым;
целеустремленный;harakter;целеустремлённым;
честный;harakter;честным;
чистоплотный;harakter;чистоплотным;
эгоистичный;harakter;эгоистичным;
энергичный;harakter;энергичным;
авиация;interesy;авиацией;
автомобили;interesy;автомобилями;
алкоголь;interesy;алкоголем;
баня;interesy;баней ;
бизнес;interesy;бизнесом;
бильярд;interesy;бильярдом;
воспитание детей;interesy;воспитанием детей;
дача;interesy;дачей ;
домашние животные;interesy;домашним животным;
живопись/рисование;interesy;живописью;
игры;interesy;играми;
интернет;interesy;интернетом;
йога;interesy;йогой;
караоке;interesy;караоке;
